,Y,Text
50,LOC:country,What country do the Galapagos Islands belong to ?  
51,DESC:def,What is ethology ?       
52,HUM:ind,Who was the prophet of the Muslim people ?  
53,DESC:desc,Where did the term `` 86ed '' come from ? 
54,HUM:ind,Who is Snoopy 's arch-enemy ?     
55,DESC:def,What is the nature of learning ?    
56,ENTY:color,What 's the only color Johnny Cash wears on stage 
57,ENTY:termeq,What 's the term for a young fox ?  
58,LOC:state,What U.S. state lived under six flags ?   
59,DESC:def,What is the Kashmir issue ?     
60,LOC:other,Where is the Loop ?      
61,DESC:def,What does `` extended definition '' mean and how would 
62,LOC:country,What country 's capital is Tirana ?    
63,DESC:def,What is titanium ?       
64,HUM:ind,Who do Herb and Tootsie live next door to ? 
65,LOC:city,Which city has the oldest relationship as a sisterðcity with 
66,DESC:def,What is a caldera ?      
67,DESC:reason,Why do people get calluses ?     
68,LOC:other,What are the names of the tourist attractions in Reims 
69,DESC:reason,What are Cushman and Wakefield known for ?   
70,LOC:other,What body of water does the Danube River flow into 
71,HUM:ind,Who is the founder of Scientology ?    
72,ENTY:other,What does the six-footed Musca domestica become when it enters 
73,DESC:desc,What is the history of skateboarding ?    
74,HUM:ind,Who starred in Singing in the Rain and The Singing 
75,DESC:manner,How do I make fuel bricks from recycled newspaper ? 
76,HUM:ind,What 19th-century painter died in the Marquesas Islands ?  
77,ENTY:body,The corpus callosum is in what part of the body 
78,DESC:manner,How do I log on to home page at Headquarters 
79,LOC:country,"What country did the Nazis occupy for 1 , CD "
80,ENTY:other,What is Nebraska 's most valuable resource ?   
81,NUM:count,How many species of the Great White shark are there 
82,DESC:desc,What is the origin of head lice ?   
83,LOC:state,What is the nickname for the state of Mississippi ? 
84,ENTY:animal,What was the first domesticated bird ?    
85,NUM:count,How many villi are found in the small intestine ? 
86,LOC:country,What country did King Wenceslas rule ?    
87,ENTY:dismed,What is a fear of shadows ?    
88,HUM:ind,Who were the five Marx brothers ?    
89,NUM:date,In which year was New Zealand excluded from the ANZUS 
90,NUM:date,When did CNN begin broadcasting ?     
91,DESC:reason,What causes the body to shiver in cold temperatures ? 
92,DESC:def,What are bear and bull markets ?    
93,ENTY:cremat,What J.R.R. Tolkien book features Bilbo Baggins as the central 
94,DESC:def,What is `` dew point '' ?    
95,DESC:def,What is the meaning of Jesus ?    
96,HUM:gr,What company 's logo is a `` W '' in 
97,DESC:def,What is the definition of a cascade ?   
98,NUM:date,When did Rococo painting and architecture flourish ?   
99,LOC:country,What country 's national passenger rail system is called Via 
100,HUM:ind,Who invented Make-up ?       
101,DESC:desc,What is the origin of the word `` attic '' 
102,DESC:desc,What did Delilah do to Samson 's hair ?  
103,ENTY:animal,What kind of animals were in the Paleozoic era ? 
104,HUM:ind,Which of the following was Rhodes Scholar ?   
105,HUM:ind,Who comprised the now-defunct comic book team known as the 
106,DESC:manner,How do you make a paintball ?    
107,LOC:state,What U.S. state is Fort Knox in ?   
108,ENTY:animal,What is a female rabbit called ?    
109,LOC:mount,Where is the highest point in Japan ?   
110,DESC:desc,Where do chihuahuas come from ?     
111,LOC:other,Where does Barney Rubble go to work after he drops 
112,LOC:other,What are the world 's four oceans ?   
113,ENTY:cremat,What 's the only work by Michelangelo that bears his 
114,ENTY:animal,What is the largest snake in the world ?  
115,ENTY:cremat,In what medium is Stuart Hamblen considered to be the 
116,LOC:other,Where on the Internet can I find a song lyrics 
117,NUM:money,How much money does a back injury lawsuit get ? 
118,ENTY:termeq,What 's the common name for acetylsalicylic acid ?  
119,DESC:def,What does the Georgetown `` Hoya '' mean ?  
120,LOC:other,Where can I find a list of `` classic '' 
121,ENTY:product,Which two products use a tiger as their symbol ? 
122,DESC:manner,How is the election of a new Pope announced to 
123,NUM:period,How long does it take for your blood to make 
124,DESC:manner,How do chickens have baby chicks ?    
125,DESC:desc,What is the historical relationship of Catholic Church and bingo 
126,DESC:manner,How was the element calcium named ?    
127,HUM:ind,What crooner joined The Andrews Sisters for Pistol Packin Mama 
128,HUM:gr,What piano company claims its product is the `` Instrument 
129,NUM:date,When did the Bounty mutiny take place ?   
130,ENTY:cremat,What novel inspired the movie BladeRunner ?    
131,DESC:def,What is a transistor ?      
132,ENTY:cremat,What is a film starring Jude Law ?   
133,ENTY:animal,What Hollywood dog died in the arms of Jean Harlow 
134,ENTY:substance,What are the most common elements in the Earth 's 
135,NUM:money,How much would it cost to purchase a 2-foot-square party 
136,HUM:ind,What actress has received the most Oscar nominations ?  
137,DESC:def,What are equity securities ?      
138,DESC:def,What is gymnophobia ?       
139,NUM:count,How many years do fossils take to form ?  
140,LOC:other,Where is the Orinoco ?      
141,ENTY:animal,What was the name of the `` Little Rascals '' 
142,LOC:city,"What city boasts Penn 's Landing , on the banks "
143,ENTY:cremat,What Broadway musical was inspired by Cervantes 's Don Quixote 
144,DESC:desc,"What is the origin of the word , JJ . "
145,NUM:count,How many hostages were killed in the Entebbe raid ? 
146,DESC:manner,How you can raise your IQ ?    
147,ABBR:exp,What does INRI stand for when used on Jesus ' 
148,HUM:gr,Who produces Spumante ?       
149,HUM:ind,Who earns their money the hard way ?   
150,HUM:ind,Who founded the People 's Temple Commune ?   
151,HUM:ind,What athlete makes the most money from sports merchandise sales 
152,NUM:count,How many bends are there in a standard paper clip 
153,HUM:ind,Who discovered electricity ?       
154,ENTY:body,What part of your body contains the corpus callosum ? 
155,HUM:ind,Who was the first American in space ?   
156,LOC:country,What two South American countries do n't border Brazil ? 
157,ENTY:cremat,What album put The Beatles on the cover of Time 
158,ENTY:cremat,"What poem contains the line , `` grow old with "
159,DESC:def,What is a dental root canal ?    
160,ENTY:event,What war did the Wanna-Go-Home Riots occur after ?  
161,NUM:date,What is the busiest air travel season ?   
162,ENTY:body,What 's the colored part of the eye called ? 
163,DESC:def,What are hook worms ?      
164,LOC:other,Where is the Rose Bowl played ?    
165,HUM:gr,Which Japanese car maker had its biggest percentage of sale 
166,HUM:ind,Who is the mayor of Marbella ?    
167,LOC:other,"What sun-blasted , 14-mile wide valley is just north of "
168,NUM:date,In what year did Thatcher become prime minister ?  
169,NUM:count,How many months does it take the moon to revolve 
170,LOC:other,Where are the 49 steps ?     
171,NUM:date,In what year was De Gaulle elected president of France 
172,HUM:ind,Who sings the themes for `` Dawson 's Creek '' 
173,HUM:ind,Who directed `` Jaws '' ?     
174,ENTY:cremat,On what T.V. show could Tom Terrific be found ? 
175,HUM:gr,What Indian tribe is F Troop perpetually doing battle with 
176,DESC:desc,Where did Indian Pudding come from ?    
177,DESC:reason,Why do some clothing labels say `` Use a nonchlorine 
178,NUM:count,How many colonies were involved in the American Revolution ? 
179,LOC:city,What is the name of the city that Maurizio Pellegrin 
180,LOC:other,Where can I find pictorial directions on how to build 
181,ENTY:sport,"What game 's board shows the territories of Irkutsk , "
182,HUM:ind,What is the name of the managing director of Apricot 
183,HUM:title,What is the occupation of Nicholas Cage ?   
184,DESC:reason,Why do horseshoes bring luck ?     
185,DESC:def,"What is the 401 , K , plan ?  "
186,DESC:reason,What causes pneumonia ?       
187,NUM:date,What are the three winter months in the southern hemisphere 
188,DESC:def,What does gringo mean ?      
189,LOC:country,What country contains Africa 's northernmost point ?   
190,ENTY:dismed,What therapy attempts to elicit the `` primal scream '' 
191,LOC:other,Where is the Kalahari desert ?     
192,HUM:gr,Which Ventura County police department seized the largest cocaine shipment 
193,LOC:city,What city is sometimes called Gotham ?    
194,ENTY:body,What dangles over the tongue from the palate ?  
195,HUM:ind,Who created Dennis the Menace ?     
196,HUM:ind,What dummy received an honorary degree from Northwestern University ? 
197,NUM:date,When was the first Wall Street Journal published ?  
198,LOC:country,What countries have the largest areas of forest ?  
199,DESC:manner,How do I start a web based business ?  
200,HUM:ind,Name Alvin 's brothers       
201,DESC:def,What is Eagle 's syndrome styloid process ?   
202,DESC:manner,How did Jayne Mansfield die ?     
203,NUM:date,When did the royal wedding of Prince Andrew and Fergie 
204,HUM:ind,What actor said in A Day at the Races : 
205,HUM:ind,What explorer was nicknamed Iberia 's Pilot ?   
206,NUM:date,CNN began broadcasting in what year ?    
207,ENTY:termeq,What is a ball that hits the foul pole called 
208,DESC:reason,What makes hamburgers taste like steakburgers ?    
209,HUM:gr,Which company created the Internet browser Mosaic ?   
210,ENTY:event,What are the rites accompanying the circumcision of a newly 
211,ENTY:other,What was the education system in the 1960 's ? 
212,LOC:city,What South American city has the world 's highest commercial 
213,DESC:manner,How can I find out which cities have cable-modem access 
214,DESC:reason,What is Betsy Ross famous for ?    
215,NUM:count,How many species of sharks are there ?   
216,DESC:def,What is `` snoogans '' ?     
217,NUM:count,How many people are there in the world ?  
218,ENTY:plant,What shrubs can be planted that will be safe from 
219,HUM:gr,What organization 's offices were broken into at Watergate in 
220,DESC:desc,What is the design of the ship Titanic ?  
221,ABBR:exp,What does S.O.S. stand for ?     
222,ENTY:techmeth,Name a technique widely used to detect birth defects ? 
223,DESC:desc,What is the daily requirement of folic acid for an 
224,DESC:def,What is the `` 7-minute cigarette '' ?   
225,ENTY:other,What four forms does gold occur in ?   
226,NUM:volsize,What is the acreage of the Chappellet vineyard ?  
227,DESC:manner,How do you correctly say the word ` qigong ' 
228,NUM:date,When did beethoven die ?      
229,NUM:money,How much does a new railroad coal car cost ? 
230,LOC:country,What two European countries entered the War of American Independence 
231,DESC:def,What is the filmmakers collabrative ?     
232,HUM:ind,What Russian composer 's Prelude in C Sharp Minor brought 
233,DESC:reason,What caused Harry Houdini 's death ?    
234,HUM:ind,Who was the mother of the man who would not 
235,NUM:count,How many revolutions does a standard LP make in three 
236,LOC:mount,What is the name of the tallest mountain in the 
237,LOC:other,Where can I find a review of Nightmare on Elm 
238,ENTY:techmeth,What 's the slowest Olympic swimming stroke ?   
239,HUM:ind,What was the name of the first Russian astronaut to 
240,ENTY:dismed,What disease is transmitted by the Anopheles mosquito ?  
241,ENTY:food,What rum is so `` mixable '' it is a 
242,NUM:count,How many South American countries have the letter Z in 
243,DESC:def,What is the contents of proposition 98 ?   
244,LOC:other,Where was George Washington born ?     
245,NUM:count,How many people on the ground were killed from the 
246,HUM:ind,Who wrote NN DT NNP NNP '' ?   
247,DESC:def,What is paracetamol ?       
248,DESC:desc,What are the powers and weaknesses of Green Lantern 's 
249,ENTY:animal,"Which mosquito 's bite draws blood , DT NN CC "
250,NUM:date,When was the first steel mill in the United States 
251,HUM:ind,What diminutive American female gymnast stole the show at the 
252,DESC:desc,What is the origin of the name Katie ?  
253,HUM:gr,"What schools in the Washington , DC NN NN VBP "
254,NUM:date,When did the Berlin Wall go up ?   
255,HUM:desc,Who is Terrence Malick ?      
256,ENTY:instru,What instrument is Ray Charles best known for playing ? 
257,DESC:def,What 's the meaning of the Latin battle cry : 
258,ENTY:other,What is the mascot for Notre Dame University ?  
259,LOC:other,"What Las Vegas hotel burned in November , 1980 , "
260,NUM:date,When did Mount St. Helen last have a significant eruption 
261,ABBR:exp,CNN is the abbreviation for what ?    
262,NUM:date,When did World War I start ?    
263,NUM:count,How many feet are there in a fathom ?  
264,DESC:def,What is a Canada two-penny black ?    
265,LOC:city,What European city do Nicois live in ?   
266,DESC:manner,How can I find out what year a Beanie Baby 
267,DESC:def,What is the classic definition of tragic hero ?  
268,ENTY:other,To what does Microsoft 's Windows 3 owe its success 
269,HUM:ind,Who was President of Afghanistan in 1994 ?   
270,ENTY:techmeth,What are other ways of getting stretch marks besides pregnancy 
271,ENTY:food,What did brontosauruses eat ?      
272,ENTY:color,What color bottles do good Rhine wines come in ? 
273,HUM:ind,Who was the lead actress in the movie ` Sleepless 
274,HUM:ind,Who was the 16th President of the United States ? 
275,HUM:ind,Who are the two sons of Ozzie and Harriet Nelson 
276,DESC:def,What is molybdenum ?       
277,NUM:date,When is Boxing Day ?      
278,ENTY:other,What is the lowest level of the American judiciary ? 
279,NUM:date,When was the battle of the Somme fought ?  
280,NUM:count,How many people did Randy Craft kill ?   
281,ENTY:animal,What 's the official animal of Canada ?   
282,NUM:date,When did Spielberg direct `` Jaws '' ?   
283,NUM:volsize,What is the size of the largest akita ?  
284,ENTY:animal,What animal has the biggest eyes ?    
285,LOC:city,What is California 's capital ?     
286,HUM:ind,Who was the author of the book about computer hackers 
287,HUM:ind,Who was the founding member of the Pink Floyd band 
288,LOC:country,What European country is home to the beer-producing city of 
289,DESC:manner,How do I find the balance of my social security 
290,DESC:desc,What is the history of Valentine 's Day cards ? 
291,LOC:other,Where was Christopher Columbus born ?     
292,ENTY:termeq,What do Italians call Florence ?     
293,DESC:manner,How do you get to the top of the Eiffel 
294,ABBR:exp,What does ` PSI ' stand for ?   
295,LOC:other,What sea did the Romans call mare nostrum ?  
296,ENTY:termeq,What 's the term for a bet before cards are 
297,ENTY:animal,"Which came first , according to Genesis 1 : 2 "
298,LOC:city,What city did the Flintstones live in ?   
299,ENTY:termeq,What is Latin for incompetent ?     
300,ENTY:dismed,What chemicals are used in lethal injection ?   
301,HUM:gr,What toy company is the world 's No.1 maker of 
302,ENTY:sport,What board game does a `` wood-pusher '' play poorly 
303,HUM:ind,Which Doonesbury character was likely to turn into a werewolf 
304,ABBR:abb,What is the abbreviation for micro ?    
305,ENTY:other,What are the 7 articles of the constitution ?  
306,HUM:gr,Who has won the most Super Bowls ?   
307,ABBR:exp,What does NASDAQ stand for ?     
308,ABBR:exp,What is BPH ?       
309,ENTY:other,What is the fastest commercial automobile that can be bought 
310,LOC:other,What stadium do the Miami Dolphins play their home games 
311,HUM:ind,Who has the only speaking role in `` Silent Movie 
312,DESC:reason,Why is poop sometimes different colors ?    
313,NUM:other,What was Einstein 's IQ ?     
314,NUM:date,What day was Pearl Harbor attacked in 1942 ?  
315,HUM:ind,What girl 's name is `` Teddy '' an affectionate 
316,LOC:state,What state is John F. Kennedy buried in ?  
317,ENTY:techmeth,What is the best way to remove wallpaper ?  
318,LOC:state,What U.S. state has an element named for it ? 
319,HUM:gr,What company tabulates the ballots in voting for the Academy 
320,DESC:manner,How did the tradition of best man start ?  
321,NUM:count,How many years ago did the ship Titanic sink ? 
322,LOC:other,What is the deepest area of the Arctic Ocean ? 
323,ENTY:color,What are Halloween 's colors ?     
324,DESC:manner,How is silk screening done ?     
325,NUM:other,"What is the latitude and longitude of El Paso , "
326,HUM:ind,Who made a boat out of gopher wood ?  
327,LOC:other,Where can I find a `` Fifth Element '' screensaver 
328,HUM:ind,Which Bloom County resident wreaks havoc with a computer ? 
329,DESC:manner,How do you match a name to a social security 
330,DESC:manner,How does a rainbow form ?     
331,NUM:other,What is the normal resting heart rate of a healthy 
332,NUM:other,What is the population of Ohio ?    
333,NUM:count,How many calories are there in a Big Mac ? 
334,DESC:def,Hazmat stands for what ?      
335,ENTY:animal,What creature scares people in the film `` Jaws '' 
336,HUM:ind,What part did John Peter Zenger play in the deveopment 
337,HUM:ind,Who followed Caesar ?       
338,ENTY:substance,What are the four elements ?     
339,HUM:ind,Who was the first woman golfer to earn a million 
340,ENTY:other,What 's the tallest piece on a chessboard ?  
341,LOC:other,What is Answers.com 's address ?     
342,LOC:other,Where can I buy movies on videotape online ?  
343,HUM:ind,Who does the advertizing for Frito-Lay ?    
344,HUM:gr,Who is the leading competitor of Trans Union Company ? 
345,ENTY:product,What product did Robert Conrad dare people to knock off 
346,HUM:ind,Who invented the radio ?      
347,NUM:count,What 's the American dollar equivalent for 8 pounds in 
348,ENTY:techmeth,What are the different approaches of systems analysis ?  
349,DESC:manner,How do doctors diagnose bone cancer ?    
350,HUM:ind,Who is the man behind the pig-the man who pulls 
351,NUM:speed,What is the speed of the Mississippi River ?  
352,ENTY:other,What are the developmental stages of a swimmer ?  
353,HUM:ind,What actor first portrayed James Bond ?    
354,LOC:other,What ocean is the largest in the world ?  
355,HUM:ind,Who was the first American poet to win the Nobel 
356,NUM:date,What year did Jack Nicklaus join the Professional Golfers Association 
357,NUM:count,How many sonnets did Shakespeare write ?    
358,DESC:reason,What causes the redness in your cheeks when you blush 
359,HUM:ind,Who won the Nobel Peace Prize in 1991 ?  
360,HUM:gr,Who are the Challengers of the Unknown ?   
361,DESC:def,Define the Pheonix Club ?      
362,LOC:city,Which city did Christian Crusaders fight to recapture from the 
363,DESC:def,What does it mean `` Rupee Depreciates '' ?  
364,ENTY:other,What gaming devices were dubbed `` Mississippi marbles '' and 
365,HUM:ind,Who was the first coach of the Cleveland Browns ? 
366,DESC:manner,How successful is arometherapy ?      
367,ENTY:event,What Jewish holiday saw the start of the 1973 Mideast 
368,DESC:manner,How does a copier work ?     
369,NUM:speed,What is the speed of the Mississippi River ?  
370,HUM:ind,Who said of Super Bowl III in 1969 : `` 
371,ENTY:animal,What is Dudley Do-Right 's horse 's name ?  
372,HUM:ind,Who declared : `` I am down on whores and 
373,LOC:other,Where does chocolate come from ?     
374,ENTY:cremat,What TV game show once saw a contestant admit to 
375,HUM:ind,What Soviet leader owned a Rolls-Royce ?    
376,LOC:other,Where can I find a case on Individuals with Disabilities 
377,ENTY:event,What war did Florence Nightingale tend the troops in ? 
378,HUM:ind,"Who wrote the song , `` Stardust '' ?  "
379,NUM:count,How many Beatles ' records went #1 ?   
380,HUM:ind,Who is the only prime minister of Canada to serve 
381,ABBR:abb,What is the abbreviation of the company name ` General 
382,LOC:mount,What mountains lie between the Arkansas and Missouri rivers ? 
383,HUM:ind,Who received the Will Rogers Award in 1989 ?  
384,DESC:reason,What is the function of RAM ?    
385,LOC:other,What 's the closest G2 Spectrum Yellow Dwarf to Earth 
386,NUM:count,How many equal angles are there in an isosceles triangle 
387,ENTY:dismed,What is the fear of cockroaches called ?   
388,ENTY:cremat,What CBS soap opera was interrupted by the bulletin of 
389,DESC:desc,What is the use of a 24-hour clock instead of 
390,HUM:ind,What was the name of the lawyer who represented Randy 
391,HUM:ind,What United States President had dreamed that he was assassinated 
392,ENTY:cremat,What film did Lee Marvin win the 1965 best actor 
393,LOC:other,Where is Basque country located ?     
394,ENTY:product,What product does `` Mrs. Olsen '' promote ?  
395,NUM:date,What time of day did Emperor Hirohito die ?  
396,DESC:def,What is dry ice ?      
397,ENTY:other,What 's the most powerful card in Euchre ?  
398,DESC:def,What does `` intractable plantar keratoma '' mean ?  
399,NUM:count,How many years did it take James Joyce to write 
400,ENTY:food,What crop failure caused the Irish Famine ?   
401,LOC:city,What South Korean city is served by Kimpo International Airport 
402,NUM:count,How many types of dogs ' tails are there - 
403,ENTY:cremat,What is the longest-running television series ?    
404,ENTY:animal,What predators exist on Antarctica ?     
405,DESC:desc,What is the difference between a generator and an alternator 
406,DESC:manner,How is energy created ?      
407,ENTY:food,What beer advertised that it had `` three rings '' 
408,NUM:other,What is the quantity of American soldiers still unaccounted for 
409,ENTY:techmeth,What golfing accessory was patented by George Grant on December 
410,ENTY:other,What are the different types of plastic ?   
411,DESC:manner,How is it correct to say ` qigong ' ? 
412,LOC:mount,What was the highest mountain on earth before Mount Everest 
413,LOC:other,"Where was the Ligurian Republic , 1797-185 , ?  "
414,LOC:country,What country 's people are the top television watchers ? 
415,NUM:date,When was the women 's suffrage amendment ratified ?  
416,HUM:gr,What Polynesian people inhabit New Zealand ?    
417,ENTY:cremat,What movie tour of the Roman empire features the admonition 
418,LOC:city,What Nevada center has been dubbed The Biggest Little City 
419,HUM:ind,"What President lived at 219 North Delaware Street , Independence "
420,DESC:reason,Give a reason for American Indians oftentimes dropping out of 
421,LOC:other,Where must a soccer goalie stand to be permitted to 
422,DESC:desc,What is the difference between classical conditioning and operant conditioning 
423,LOC:state,In what U.S. state was the first woman governor elected 
424,DESC:desc,What are some interesting facts and information about dogsledding ? 
425,NUM:date,What year did Hitler die ?     
426,HUM:ind,What famous model was married to Billy Joel ?  
427,ENTY:animal,What kind of animal is Babar ?    
428,DESC:reason,What is Jane Goodall known for ?    
429,ENTY:other,What killed Bob Marley ?      
430,NUM:money,How much money are Dumbo 's ears insured for ? 
431,HUM:ind,Who danced into stardom with Fred Astaire in 1941 's 
432,HUM:desc,Who is Stein Eriksen ?      
433,DESC:def,What does the name Billie mean ?    
434,HUM:ind,Who is the fastest swimmer in the world ?  
435,LOC:mount,What is the highest peak in Africa ?   
436,LOC:other,Where is Procter & Gamble headquartered in the U.S. ? 
437,LOC:other,What desert has been called The Garden of Allah ? 
438,ENTY:other,What do bicornate animals have two of ?   
439,DESC:reason,What function does a community 's water tower serve ? 
440,ENTY:dismed,What is a fear of weakness ?    
441,NUM:count,How many miles is it to Ohio from North Carolina 
442,NUM:count,How much snow equals an inch of rain ?  
443,ABBR:exp,What does G.M.T. stand for ?     
444,DESC:def,What does Inuit and Eskimo mean ?    
445,ENTY:cremat,What song served as the closing theme of The Johnny 
446,ENTY:sport,What field sport did dentist William Beers promote and write 
447,DESC:manner,How do I tie dye clothes ?    
448,NUM:date,When does the average teenager first have intercourse ?  
449,DESC:reason,Why doesn 't www.answers.com have any answers to my questions 
450,HUM:ind,What actor 's autobiography is titled All My Yesterdays ? 
451,HUM:ind,What Russian master spy lived in the U.S. under the 
452,LOC:other,Where 's the 19th hole on a golf course ? 
453,DESC:reason,What 's nature 's purpose for tornadoes ?   
454,HUM:ind,Who played the original Charlie 's Angels ?   
455,LOC:other,Where can I find a person 's address from a 
456,ENTY:word,"What English word comes from the Old French covrefeu , "
457,ENTY:instru,What musical instrument did Prewitt play in James Jones 's 
458,LOC:other,Where did Sarge Steel get his metal hand ?  
459,DESC:reason,What makes popcorn pop ?      
460,HUM:ind,Who wrote The Night of the Iguana ?   
461,ENTY:body,Where does your hair grow the fastest ?   
462,LOC:country,What country did King Gustav V reign over from 197 
463,HUM:ind,Who painted Mother and Child ?     
464,NUM:speed,What is the speed of the Mississippi River ?  
465,LOC:other,In what area of the world was the Six Day 
466,LOC:other,What is the brightest star visible from Earth ?  
467,ENTY:cremat,What film marked Robert Redford 's directorial debut ?  
468,HUM:ind,What was Mao 's second name ?    
469,ENTY:cremat,What film or films has Jude Law appeared in ? 
470,LOC:other,Where do hyenas live ?      
471,HUM:desc,Who is the `` Queen Mother '' ?   
472,ENTY:lang,What 's the most commonly-spoken language in Belgium ?  
473,HUM:ind,Who has more DNA - a man or a woman 
474,DESC:def,What are Maid-Rites ?       
475,ENTY:cremat,What children 's tale contains the line : `` Come 
476,HUM:gr,What level of government or governmental agency is responsible for 
477,NUM:count,How many referees work a soccer game ?   
478,ENTY:food,What cocktail do you concoct with whisky and sweet vermouth 
479,ENTY:termeq,How do you say `` fresh '' in Spanish ? 
480,DESC:desc,What do bee hives do in cranberry bogs ?  
481,DESC:reason,What caused the Lynmouth floods ?     
482,NUM:date,When is the Tulip Festival in Michigan ?   
483,HUM:ind,"Who came up with the name , El Nino ? "
484,ENTY:cremat,What movie did Madilyn Kahn star in with Gene Wilder 
485,ENTY:other,What type of bridge is the Golden Gate Bridge ? 
486,HUM:ind,What dictator has the nickname `` El Maximo '' ? 
487,HUM:gr,What stereo manufacturer is `` Slightly ahead of its time 
488,LOC:city,What U.S. city is The Queen of the Pacific ? 
489,HUM:ind,What TV sitcom character had the maiden name Ethel Potter 
490,ENTY:food,What was the first Lifesaver flavor ?    
491,HUM:ind,Who kept the most famous diary in the English language 
492,LOC:other,Where can I find out the top 1 singles ? 
493,NUM:count,How many degrees cooler is the inside of a cucumber 
494,HUM:ind,What Spanish artist painted Crucifixion ?     
495,ENTY:cremat,What is the Jewish bible called ?    
496,DESC:reason,Why is the grass green ?     
497,DESC:def,What is a firewall ?      
498,HUM:ind,What spy novelist served as Moscow correspondent for Reuter and 
499,HUM:gr,Which oil company almost picked a word that meant `` 
500,NUM:period,How long does it take for Spider-Man 's web to 
501,HUM:ind,Who was Randy Steven Craft 's lawyer ?   
502,LOC:other,What was known as the Spice Island ?   
503,HUM:ind,Who was the first host of Person to Person ? 
504,HUM:ind,Name the Ranger who was always after Yogi Bear . 
505,ENTY:other,"What deck of cards includes the Wheel of Fortune , "
506,ENTY:other,What does the Statue of Liberty wear on her feet 
507,HUM:ind,Who is the superstar in rent-a-cars ?    
508,LOC:city,McCarren Airport is located in what city ?   
509,ENTY:other,"What household facility contains a float ball , ballcock , "
510,ENTY:animal,What was the name of Betty Boop 's dog ? 
511,NUM:perc,What fraction of a beaver 's life is spent swimming 
512,ENTY:substance,What was the Bridge of San Luis Rey made of 
513,DESC:desc,What do economists do ?      
514,LOC:country,What country has the largest sheep population ?   
515,DESC:desc,What do I need to do to take my dog 
516,LOC:country,What country is the world 's largest importer of cognac 
517,NUM:count,How many years is Johnnie Walker Black Label aged ? 
518,ABBR:exp,What does SIDS stand for ?     
519,ENTY:other,What is Grenada 's main commodity export ?   
520,NUM:money,"How much would a black-and-white 1-cent stamp be worth , "
521,DESC:reason,What makes a clitoris sensitive ?     
522,LOC:country,"What country has the most time zones , with 11 "
523,ENTY:other,What `` magic '' does Mandrake employ ?   
524,HUM:ind,Who is the president of Stanford University ?   
525,HUM:ind,Whose first presidential order was : `` Let 's get 
526,ENTY:other,"What was introduced commercially by Bayer A.G. of Leverkusen , "
527,LOC:city,What city is Logan Airport in ?    
528,DESC:def,What is a nanometer ?      
529,NUM:count,How many innings are there in a regulation softball game 
530,NUM:date,When did CNN go on the air ?   
